Acronym,Definition
IRB,Independent Review Board
IRC,Institutional Research Capacity
IRD,Interface Requirements Document
IRIS,Interface Region Imaging Spectrograph
IRR,Interim Research Review
IRSA,Infrared Science Archive
IRT,Independent Review Team
IRTF,Infrared Telescope Facility
IS3,In-Space Support System
ISAM,"In-space Servicing, Assembly, and Manufacturing"
ISD,Interstellar Dust
ISFM,Internal Scientist Funding Model
ISFR,In-Situ Fabrication and Repair
ISLSP,In-Situ Life Support Processes
ISO,International Organization for Standardization
ISON,Interagency Satellite Observation Needs
ISPF,In-Space Propulsion Facility
ISRO,Indian Space Research Organization
ISRU,In-Situ Resource Utilization
ISS,International Space Station
ISSO,Information System Security Officer
ITA,Independent Technical Authority
ITAR,International Traffic in Arms Regulations
ITL,Integrated Test Lab
ITM,Ionosphere-Thermosphere-Mesosphere
IV&V,Independent Verification and Validation
IVA,Intravehicular Activity
IVGEN,Intra Venous Water GENeration
IXPE,Imaging X-ray Polarimetry Explorer
InSPACE,Investigating the Structure of Paramagnetic Aggregates from Colloidal
InSPACE-2,Investigating the Structure of Paramagnetic Aggregates from Colloidal – 2
JAXA,Japanese Aerospace Exploration Agency
JCL,Joint Confidence Level
JHU,Johns Hopkins University
JIMO,Jupiter Icy Moon Orbiter
JIT,Joint Integration Test
JOINS,Lockheed Martin Joining Demonstrations In-Space
JPL,Jet Propulsion Laboratory
JPSS,Joint Polar Satellite System
JSC,Johnson Space Center
JTWC,Joint Typhoon Warning Center
JUICE,JUpiter ICy moons Explorer
Ka,Ka-band
KARI,Korea Aerospace Research Institute
KASI,Korea Astronomy and Space Science Institute
KBO,Kuiper Belt Object
KDP,Key Decision Point
KGS,Kuiper Government Solutions
KIDS,K-12 Inclusiveness and Diversity
KOA,Keck Observatory Archive
KPF,Keck Planet Finder
KPLO,Korea Pathfinder Lunar Orbiter
KPP,Key Performance Parameters
KSC,Kennedy Space Center
L/D,L/D Lift/Drag coefficient
L1,Libration point 1 (Earth-Moon)
LAFORGE,Lunar Advanced Filter Observing Radiometer for Geologic Exploration
LANCE,"Land, Atmosphere Near real-time Capability for EOS"
LANL,Los Alamos National Laboratory
LARADO,Laser-sheet Anomaly Resolution and Debris Observation
LAS,Launch Abort System
LASP,Laboratory for Atmospheric and Space Physics
LAURA,Long durAtion evalUation solaR hand Launch
LAWG,LAWG Lunar Architecture Working Group
LBFD,Low Boom Flight Demonstrator
LCC,Life Cycle Cost
LCL,Latching Current Limiters
LCOT,Low-Cost Optical Terminal
LCPSO,Land Cover Project Science Office
LCRD,Laser Communications Relay Demonstration
LCRNS,Lunar Communications Relay and Navigation Systems
LCS,Launch Communications Segment
LDEP,Lunar Discovery and Exploration Program
LED,LED Light Emitting Diode
LEDM,Lunar Electrostatic and Dust Mitigation
LEGS,Lunar Exploration Ground System
LEIA,Lunar Explorer Instrument for space biology Applications
LEO,low-Earth orbit
LEPAG,LEPAG Lunar Exploration Program Working Group
LETF,Launch Equipment Test Facility
LExSWG,LExSWG Lunar Exploration Science Working Group
LF-X,LF-X Logistics Flight
LFCA,"LFCA Low Volume Fraction Colloidal Assemblies Experiment, LMM-4"
LH2,Liquid Hydrogen
LIFD,Lunar Infrastructure Flight Demonstrations
LIGO,Laser Interferometer Gravitational-wave Observatory
LIS,Land Information System
LISA,Laser Interferometer Space Antenna
LISM,Local Interstellar Medium
LITMS,Lunar Interior Temperature and Materials Suite
LLITED,Low-Latitude Ionosphere/Thermosphere Enhancements in Density
LLM,Large Language Model
LLO,LLO Low-Lunar Orbit
LMA,Liquid Oxygen and Methane Assessment
LMC,Large Magellanic Cloud
LME,LME Liquid Management Experiment
LMM,LMM Light Microscopy Module
LMS,LMS Lunar Mission Scenario
LO,LO Lunar Orbit
LOA,LOA Letter of Agreement
LOC,LOC Lunar Orbit Capture
LOCR,Lunar Orbit Checkout Review
LOE,LOE Level of Effort
LOFTID,Low-Earth Orbit Flight Test of an Inflatable Decelerator
LOM,LOM Loss of Mission
LOX,LOX Liquid OXygen
LRA,Laser Retroreflector Array
LRD,Launch Readiness Date
LRI,Laser Ranging Interferometer
LRIP,LRIP Low-Rate Initial Production
LRL,LRL Lunar Robotic Lander
LRO,Lunar Reconnaissance Orbiter
LROC,LRO Camera
LRR,LRR Launch Readiness Review
LS,LS Lunar Surface
LSAH,Lifetime Surveillance of Astronaut Health
LSAM,LSAM Lunar Surface Access Module
LSG,Life Sciences Glovebox
LSH,LSH Life Support and Habitation
LSI,LSI Landed Surface Interrogator
LSII,Lunar Surface Innovation Initiative
LSITP,Lunar Surface Instrument and Technology Payloads
LSP,Launch Services Program
LSPG,LSPG Life Support Power Generation System
LTV,Lunar Terrain Vehicle
LTVS,Lunar Terrain Vehicle Services
LUCI,Lunar Combustion Investigation
LUPEX,Lunar Polar Exploration Mission
LUSEM,Lunar Space Environment Monitor
LVSA,Launch Service Stage Adapter
LWRHU,Light Weight Radioisotope Heating Units
LWS,Living With a Star
LaRC,LaRC Langley Research Center
M&IO,Mission Integration and Operations
M&S,Modeling and Simulation
M2M,Moon to Mars
M365,Microsoft 365
MA,Management Agreement
MABE,Microheater Array Boiling Experiment
MACS,Multi-layer Acoustics & Conductive-grid Sensor
MAF,Michoud Assembly Facility
MAGIC,Magnetometers for Innovation and Capability
MAIA,Multi-Angle Imager for Aerosols
MAMS,Microgravity Acceleration Measurement System
MANTIS,Monitoring Activity of Nearby sTars with uv Imaging and Spectroscopy
MASPEX,MAss SPectrometer for Planetary EXploration/Europa
MAST,Mikulski Archive for Space Telescopes
MAV,Mars Ascent Vehicle
MAVEN,Mars Atmosphere and Volatile Evolution
MAXI,Monitor of All-sky X-ray Image
MBRSC,Mohammed bin Rashid Space Centre
MCC,Mission Control Center
MCDL,Master Controlled Documents List
MCL,Metrology and Calibration Laboratory
MCO,Mars Campaign Office
MDA,Milestone Decision Authority
MDCA,Mission System Development Implementation Plan
MDIS,Mercury Dual Imaging System
MDR,Mission Definition Review
MDSS,Misasa Deep Space Station
MEGANE,Mars-moon Exploration with Gamma rays and Neutrons
MEL,Microgravity Environment Lab
MEPAG,Mars Exploration Program Analysis Group
MES,Mission Enabling Services
MEVV,Multi Element Verification and Validation
MFS,Multiphase Flow Separators
MFT,Multiphase Flow Technology
MGFA,Multi-user Gaseous Fuels Apparatus
MGI,MICROSCALE Glovebox Investigation Experiment
MGM-III,Mechanics of Granular Materials Experiment – III
MI,Minority Institutions
MIA,Made in America
MIDAS,Miscible Interface Dynamics and Simulation Experiment
MIDEX,Medium-Class Explorer
MIGHTI,Michelson Interferometer for Global High-resolution Thermospheric Imaging
MIO,Maturation and Integration Office
MIRI,Mid-Infrared Instrument
MIRO,MUREP Institutional Research Opportunity
MIRT,MSR IRB Response Team
MISE,Mapping Imaging Spectrometer for Europa
MISSE,Materials International Space Station Experiment
MIST,Water Mist Fire Suppression Experiment
MIUL,Material Identification Usage List
ML,Machine Learning
MLA,Mercury Laser Altimeter
MLI,Multi-Layer Insulation
MMA,Microgravity Measurement Apparatus
MMOD,Micro-Meteoroid and Orbital Debris
MMPACT,Moon-to-Mars Planetary Autonomous Construction Technology
MMS,Magnetospheric Multiscale
MMTC,Multi-Mission Time Correlation
MMX,Martian Moons eXploration
MO,Mission of Opportunity
MO&I,Mission Operations and Integration
MOA,Memorandum of Agreement
MOBI,Microgravity Observations of Bubble Interaction Experiment
MOMA,Mars Organic Molecule Analyzer
MOMM,Microscopy and Optical Manipulation Module
MOP,Mission Operations Plan
MOTS,Modified-Off-The-Shelf
MOU,Memorandum of Understanding
MOXIE,Mars Oxygen ISRU Experiment
MPC,Minor Planet Center
MPIA,Max Planck Institute for Astronomy
MPLAN,UREP Partnership Annual Notification
MPP,Mentor Protégé Program
MR,Mission Relevant
MRDOC,"Microgravity Research, Development and Operations Contract"
MRO,Mars Reconnaissance Orbiter
MRR,Mission Readiness Review
MS,Milestone
MSCRE,Microgravity Smoldering Combustion Re-Flight Experiment
MSD,Mission Support Directorate
MSFC,Marshall Space Flight Center
MSG,Microgravity Science Glovebox
MSI,Minority Serving Institution
MSL,Mars Science Laboratory
MSR,Mars Sample Return
MST,Mission Sequence Test
MSTAR,MUREP Space Technology Artemis Research
MUREP,Minority University Research and Education Project
MURI,Multiband Uncooled Radiometer Imager
MUSE,Multi-slit Solar Explorer
MUSS,Multi-User Systems Support
MW,Megawatt
MWA,Maintenance Work Area
N/A,Not Applicable
NAC,NASA Advisory Committee
NAR,Non-Advocate Review
NAS,National Airspace System
NASA,National Aeronautics and Space Administration
NASCOM,NASA Ground Communications System
NASEM,"National Academy of Sciences, Engineering, and Medicine"
NAVO,NASA Astronomical Virtual Observatories
NBX,Nucleate Boiling Experiment
NC,Non-Condensable Gas
NCAS,NASA Community College Aerospace Scholars
NCMR,National Center for Microgravity Research (see NCSER)
NCRP,National Council on Radiation Protection and Measurements
NCSER,National Center for Space Exploration Research (formerly NCMR)
NDE,Nondestructive Evaluation
NDI,Non-Developmental Items
NDS,NASA Docking System
NDT,Nondestructive Testing
NEA,Near Earth Asteroid
NEAR,Near-Earth Asteroid Rendezvous
NED,NASA/Infrared Processing and Analysis Center Extragalactic Database
NEDD,Natural Environments Definition for Design
NEO,Near-Earth Object
NEOO,Near-Earth Object Observations
NEP,Nuclear Electric Propulsion
NEPA,National Environmental Policy Act
NESC,NASA Engineering and Safety Center
NET,No Earlier Than
NEX,NASA Earth eXchange
NFS,NASA FAR Supplement
NG,Northrop Grumman
NGC,New General Catalogue
NGIT,"Northrop Grumman, Information Technologies (MRDOC)"
NGS,Next Gen STEM
NHC,National Hurricane Center
NIAC,NASA Innovative Advanced Concepts
NICER,Neutron Star Interior Composition Explorer
NID,NASA Interim Directive
NIH,National Institutes of Health
NIKA,Network Initiative for Ka-band Advancement
NIRVSS,Near InfraRed Volatiles Spectrometer System
NISAR,NASA-ISRO Synthetic Aperture Radar
NIST,National Institute of Standards and Technology
NISTAR,National Institute of Standards & Technology Advanced Radiometer
NLS,NASA Launch Services
NLSA,Nuclear Launch Safety Approval
NOAA,National Oceanic and Atmospheric Administration
NODIS,NASA Online Directives Information System
NOFO,Notice of Funding Opportunity
NOJMO,NASA Office of JPL Management and Oversight
NOMAD,Nadir and Occultation for MArs Discovery
NOMC,NASCOM Operations Management Center
NOS,Novel Observing Strategies
NP,NASA Publication
NPBX,Nucleate Pool Boiling under Microgravity Experiment
NPD,NASA Policy Directive
NPLP,NASA Provided Lunar Payloads
NPR,NASA Procedural Requirements
NPS,National Park Service
NRA,NASA Research Announcement
NRC,National Research Council
NRESS,National Research and Educational Support Services
NRHO,Near Rectilinear Halo Orbit
NRO,National Reconnaissance Office
NRPTG,National Rocket Propulsion Test Group
NSBRI,NSBRI
NSC,National Student Clearinghouse
NSF,National Science Foundation
NSIDS,National Snow and Ice Data Center
NSN,Near Space Network
NSRS,NASA Safety Reporting System
NSS,Neutron Spectrometer System
NSSA,Nuclear Technology and Demonstrations
NSTC,National Science and Technology Council
NSTGRO,NASA Space Technology Graduate Research Opportunities
NTP,Nuclear Thermal Propulsion
NTR,Nuclear Thermal Rocket
NTRE,Nuclear Thermal Rocket Engine
NWR,Not Worth Reporting
O&M,Operations and Maintenance
O&TM,Operations and Test Management
O2O,Optical-to-Orion
OA,Office of Audits
OAG,OAG Operations Advisory Group
OASIS,"Physics of Hard Spheres Experiment-2, LMM-2"
OBC,Onboard-Computer
OCE,Office of the Chief Engineer
OCFO,Office of the Chief Financial Officer
OCHCO,Office of the Chief Human Capital Officer
OCHMO,Office of the Chief Health and Medical Officer
OCI,Ocean Color Instrument
OCOMM,Office of Communications
OCR,OCR Operations Change Request
OCTL,Optical Communications Telescope Laboratory
OD-SSA,Orbital Debris and Space Situational Awareness
ODA,Office of Data Analytics
ODEO,Office of Diversity and Equal Opportunity
OG,OG Over guide-line
OGC,Office of the General Counsel
OHMAN,Orbiting High-energy Monitor Alert Network
OI,Office of Investigations
OIG,Office of Inspector General
OIIR,Office of International and Interagency Relations
OLAFS,Optical Large Aperture Flat System
OLIA,Office of Legislative and Intergovernmental Affairs
OLIF,Orion Life Support Integration Facility
OM,OM Orbital Module
OMB,Office of Management and Budget
OME,Orion Main Engine
OMP,Office of Management and Planning
OMPS,Ozone Mapping and Profiler Suite
ONERA,Office National d'Etudes et Recherches Aérospatiales
OP,Office of Procurement
OPOC,Orion Production and Operations Contract
OPS,Office of Protective Services
OPSEC,Operations Security
ORCA,Optimized and Repeatable Components in Additive Manufacturing
ORDEM,Orbital Debris Engineering Model
ORDT,ORDT Objectives and Requirements Definition Team
ORR,Operational Readiness Review
ORU,ORU Orbital Replacement Unit
OSA,Orion Stage Adapter
OSAM,"On-orbit Servicing, Assembly, and Manufacturing"
OSBP,Office of Small Business Programs
OSD,OSD Office of the Secretary of Defense
OSHA,Occupational Safety and Health Administration
OSI,Open Science Implementation
OSMA,Office of Safety and Mission Assurance
OSP,OSP Orbital Space Plane
OSS,Open Source Science
OSST,Ocean Salinity Science Team
OSTEM,"Office of Science, Technology, Engineering, and Math"
OSTST,Ocean Surface Topography Science Team
OTPS,"Office of Technology, Policy, and Strategy"
OV,OV Operational View
OVWST,Ocean Vector Wind Science Team
OWST,Ocean Winds Science Team
OZ,NASA JSC ISS Payload Integration Office
P-SLD,Pneumatic Subject Load Device
PA&E,Program Analysis and Evaluation
PACE,"Plankton, Aerosol, Cloud, ocean Ecosystem"
PAH,Payload Accomodations Handbook
PAM,Private Astronaut Mission
PAP,Product Assurance Plan
PAPAC,Provide Aerospace Products and Capabilities
PAR,Performance and Accountability Report
PARL,Performance and Accountability Reporting Lead
PARS,Payload Anomoly Report System
PART,Program Assessment Rating Tool
PAS,Passive and Active Gas-Liquid Separator Devices
PASEP,Passive and Active Phase Separators
PASLB,Passive Acoustic Stabilization of Liquid Bridges Experiment
PASS,Precision Assembled Space Structure
PB,Petabyte
PBAN,Polybutadiene Acrylonitrile
PBM-1,Pool Boiling Module-1
PBMA,Process Based Mission Assurance
PBRE,Packed Bed Reactor Experiment
PBS,Product Breakdown Structure
PC PCA,Plane Change Program Commitment Agreement
PCAD,Propulsion and Cryogenic Advanced Development
PCB,Program / Project Control Board
PCC,"Prizes, Challenges, and Crowdsourcing"
PCDU,Power Conditioning Distribution Unit
PCE,Particulate Control Experiment
PCS,"Physics of Colloids in Space Experiment, LMM-3"
PCS+,Physics of Colloids in Space Experiment Plus
PCS-2,Physics of Colloids in Space Experiment-2
PCS-3,Physics of Colloids in Space-3
PD,Payload Developer
PDCO,Planetary Defense Coordination Office
PDE,Pulsed Thermal Loop Demo
PDL,Payload Data Library
PDR,Preliminary Design Review
PDS,Planetary Data System
PEA,Programmatic Environmental Assessment
PEAR,Payload Environmental Access Room
PER,Pre-Environmental Review
PERT,Program Evaluation Review Technique
PESHE,"Programmatic Environmental, Safety, and Occupational Health Evaluation"
PESTO,Planetary Exploration Science Technology Office
PFAR,Post-Flight Assessment Review
PFAS,Polyfluoroalkyl Substances
PHaSE-2,Photo-Flight Model
PI,Principal Investigator
PIA,Payload Integration Agreement
PIDS,Principal Investigator Data Service
PIM,Payload Integration Manager
PIMS,Plasma Instrument for Magnetic Sounding
PIRN,Preliminary Interface Revision Notice
PKE,Plasma Krystal Experiment
PLAR,Post-Launch Assessment Review
PM,Particulate Matter
PMA,President’s Management Agenda
PMB,Performance Measurement Baseline
PMC,Program management Council
PMDP,Project Management Development Process
PME,Program Mission Execution
PMF,Propellant Mass Fraction
PMIT,Payload Mission Integration Team
PMM,Precipitation Measuring Mission
PMPO,Planetary Missions Program Office
PMT,Program Management Team
PNAR,Preliminary Non-Advocate Review
PNT,"Positioning, Navigation, and Timing"
POC,Point of Contact
POIC,Payload Operations & Integration Center
POIWG,Payload Operations & Integration Working Group
POP,Program Operating Plan
PP-SLD,Passive Pneumatic Subject Load Device
PPE,Power and Propulsion Element
PPL,Performance Planning Lead
PR,Pressurized Rover
PRA,Probabilistic Risk Assessments
PRACA,Preventive and Corrective Action
PRD,Program Requirements Document
PREFIRE,Polar Radiant Energy in the Far Infrared Experiment
PRIME,Polar Resources Ice Mining Experiment
PRISM,Payloads and Research Investigations on the Surface of the Moon
PROSWIFT,Promoting Research and Observations of Space Weather to Improve the
PSI,Precollege Summer Institute
PSP,Parker Solar Probe
PSR,Pre-Ship Review
PSRP,Payload Safety Review Panel
PSRR,Pre-Shipment Readiness Review
PSTR,Pre-Storage Review
PStR,Pre-Storage Review
PTD,Pathfinder Technology Demonstrator
PTDR,Payload Training Dry Run
PTR,Payload Technical Review
PUEO,Payload for Ultrahigh Energy Observation
PUFFER,Pop Up Flat Folding Exploration Robot
PUI,Primarily Undergraduate Institution
PUNCH,Polarimeter to Unify the Corona and Heliosphere
PV,Performance Verification
PWP,Primary Water Processor
PY,Program Year
PaRIS,Passive Pack Isolation System
QA,QA Quality Assurance
QFD,QFD Quality Function Deployment
QSAR,Qualification System Acceptance Review
R&A,Research and Analysis
R&D,Research and Development
R&T,Research and Technology
R&TD,Research and Technology Development
R3,Rapid Response Research
RAAMBO,Refractory Alloy Additive Manufacturing Build Optimization
RADIANT,Research and Development of Initiatives of Advanced New Technologies
RALB,Robotically Assembled Light Bender
RAM,Revolutionary Aviation Mobility
RAP,Robotics Alliance Project
RBI,Radiation Budget Instrument
RCAR,Requirements Change Assessment Report
RCM,Reliability Centered Maintenance
RCR,Research Concept Review
RCRA,Resource Conservation and Recovery Act
RCS,Reaction Control System
RDAP,Rosetta Data Analysis Program
RDR,Requirements Definition Review
RDRE,Rotating Detonation Rocket Engine
REAL,Relativistic Electron Atmospheric Loss
REASON,Radar for Europa Assessment and Sounding: Ocean to Near-surface
RED,Resistive Exercise Device
REEFS,Radiative Enhancement Effects on Flame Spread
RF,Radio Frequency
RFA,Request for Action
RFI,Request for Information
RFM,Rosalind Franklin Mission
RFMG,Radio Frequency Mass Gauge
RFP,Request for Proposal
RFQ,Request for Quote
"RGF,GFM-4",Regimes of Granular Flow
RID,Research Infrastructure Development
RII,Research Infrastructure Improvement
RLEP,Robotic Lunar Exploration Program
RMB,Risk Management Board
RMSAG,Risk and Mission Success Advisory Group
RO,RO
ROS,Reactive Oxygen Species
ROSES,Research Opportunities in Space and Earth Science
RP-1,Rocket Propellant 1
RPS,Radioisotope Power System
RPT,Rocket Propulsion Test
RPWG,Research Payload Working Group
RSI,Responsive Science Initiative
RSR,Responsive Science Research
RTDFS,Residence Time Driven Flame Spread
RTG,Radioisotope Thermoelectric Generator
RTIP,Research and Technology Implementation Plan
RTM,Research Team Member
RTS,Remote Triaxial Sensor
RTSAD,Risk Tool Suite for Advanced Design
RVLT,Revolutionary Vertical Lift Technology
RWGS,Reverse Water Gas Shift
S&MA,Safety and Mission Assurance
S-FLAME,Structure and Response of Spherical Diffusion Flames
S/C,Spacecraft
SABERS,State Architecture Batteries for Enhanced Rechargeability and Safety
SAC,Super-lightweight Aerospace Composites
SAF,Sustainable Aviation Fuel
SAGE,Stratospheric Aerosol and Gas Experiment
SAM,Sample Analysis at Mars
SAME,Smoke Aerosol Measurement Experiment
SAMP,Single Acquisition Management Plan
SAMS,Space Acceleration Measurement System
SANSA,South African National Space Agency
SAO,Strategy & Architecture Office
SAPIAD,Space Science Pending International Agreement Database
SAR,Synthetic Aperture Radar
SARG,Standard Assurance Requirements and Guidelines
SAT,Strategic Astrophysics Technology
SATCOM,Satellite Communications
SBA,Simulation Based Acquisition
SBG,Surface Biology and Geology
SBIR,Small Business Innovation Research
SC,Scientific Computing
SCA,Sensor Chip Assemblies
SCALPSS,Stereo Camera for Lunar Plume-Surface Studies
SCE,Sensor Chip Electronics
SCIC,Supply Chain Insight Central
SCIFLI,Scientifically Calibrated In-Flight Imagery
SCIPA,Spacecraft Bus + Integrated Payload Assembly
SCLT,Strategic Capabilities Leadership Team
SCM,Search Coil Magnetometer
SCMP,Soft Condensed Matter Physics
SCR,Science Concept Review
SCWO,Super Critical Water Oxidation
SDA,Software-Defined Access
SDAC,Solar Data Center
SDC,Surface Deformation and Change
SDL,Space Dynamics Laboratory
SDO,Solar Dynamics Observatory
SDP,Safety Data Package
SDR,System Definition Review
SDS,Survey Data System
SDTO,Science Detailed Test Objective
SDVOSB,Service Disabled Veteran Owned Small Businesses
SE,Systems Engineer
SE&I,Systems Engineering and Integration
SEAQUE,Satellite Entanglement and Annealing QUantum Experiment
SEB,Source Evaluation Board
SEDAC,Socio-economic Data and Applications Center
SEDC,Sooting and Radiation Effects in Droplet Combustion Experiment
SEMP,Systems Engineering Management Plan
SEP,Solar Electric Propulsion
SES,Senior Executive Service
SESCDP,Senior Executive Service Candidate Development Program
SETMO,Space Environments Testing Management Office
SFCO,Space Flight Crew Operations
SFD,Sustainable Flight Demonstrator
SFNP,Sustainable Flight National Partnership
SFS,Space and Flight Support
SGP,Space Geodesy Project
SHERE,Shear History Extensional Rheology Experiment
SIBAL,Solid Inflammability Boundary at Low-Speed
SICD,Spiral Initial Capabilities Document
SIF,Solar-Induced Chlorophyll Fluorescence
SIM,Spectral Irradiance Monitor
SIPS,Science Investigator-led Processing Systems
SIR,System Integration Review
SLA,Service Level Agreement
SLB,Stabilization of Liquid Bridges
SLC,Space Launch Complex
SLD,Sustaining Lunar Development
SLI,Sustainable Land Imaging
SLR,Satellite Laser Ranging
SLS,Space Launch System
SM,Service Module
SMA,Safety and Mission Assurance
SMAP,Soil Moisture Active and Passive
SMARR,Safety and Mission Assurance Readiness Review
SMARTS,Safety and Mission Assurance Requirements Tracking System
SMD,Science Mission Directorate
SME,Subject Matter Expert
SMEX,Small Explorer
SMO,System Management Office
SMODE,Sub-Mesoscale Ocean Dynamics Experiment
SMOKE,Characterization of Smoke Particulate for Spacecraft Fire Detection
SMOS,Soil Moisture and Ocean Salinity
SMTP-2E,Segmented Mirror Technology Program Phase 2E
SNP,Space Nuclear Propulsion
SNR,Signal-to-Noise Ratio
SNWG,Satellite Needs Working Group
SOAR,"Security Orchestration, Automation, and Response"
SOC,Security Operations Center
SOFBALL,Structure of Flame Balls at Low Lewis-numbers
SOFIA,Stratospheric Observatory for Infrared Astronomy
SOHO,Solar and Heliospheric Observatory
SOLAR,Site for Online Learning and Resources
SOMA,Science Office for Mission Assessments
SOMD,Space Operations Mission Directorate
SOST,Subcommittee on Ocean Science and Technology
SOW,Statement of Work
SPARCS,Star-Planet Activity Research CubeSat
SPAWG,Space Communications Analysis Working Group
SPDA,Space Physics Data Archive
SPDF,Space Physics Data Facility
SPE,Solar Particle Event
SPEC,Stages Production and Evolution Contract
SPICE,Smoke Points in Co-flow Experiment
SPIDER,SPace Infrastructure DExterous Robot
SPIE,Spacecraft Payload Integration and Evolution
SPLICE,Safe and Precise Landing - Integrated Capabilities Evolution
SPOC,Spacecraft Processing Operations Contract
SPORT,Scintillation Prediction Observations Research Task
SPRITE,Supernova remnants Proxies for Reionization and Integrated Testbed Experiment
SPU,Sample Processing Unit
SR&T,Strategic Research and Technology
SRAG,Space Radiation Analysis Group
SRB,Standing Review Board
SRC,Sample Return Capsule
SRD,Systems Requirements Documents
SRFE,Smart Fluid Rheology
SRL,Sample Retrieval Lander
SRM&QA,"Safety, Reliability, Maintainability and Quality Assurance"
SRON,Netherlands Institute for Space Research
SRP,Sample Receiving Project
SRR,System Requirements Review
SS,Systems-of-Systems
SSAA,System Security Authorization Agreement
SSAS,Space System Acquisition Strategy
SSC,Stennis Space Center
SSL,Space Sciences Laboratory
SSMO,Space Science Mission Operations
SSMS,"Safety, Security, and Mission Services"
SSO,Sun Synchronous Orbit
SSPIAD,Space Science Pending International Agreements Database
SST,Small Spacecraft Technology
SSTAC,Space Science and Technology Advisory Committee
STA,Structure Test Article
STD,Standard (Document)
STDO,Station Development Test Objective
STEM,"Science, Technology, Engineering, and Mathematics"
STEREO,Solar Terrestrial Relations Observatory
STES,Single-locker Thermal Enclosure System
STMD,Space Technology Mission Directorate
STP,Space Test Program
STRATO,Strategic Radio and Tactical Overwatch
STRG,Space Technology Research Grants
STRI,Space Technology Research Institutes
STROFIO,Start from a ROtating FIeld mass spectrOmeter
STTP,Strategy to Task to Technology Process (or Panel)
STTR,Small Business Technology Transfer
SUDA,SUrface Dust Analyzer
SV,System View
SVTL,Safety Verification Tracking Log
SWMS,Solid Waste Management System
SWOT,Surface Water and Ocean Topography
SWPC,Space Weather Prediction Center
SWR2O2R,Space Weather to Operations to Research
SWS,System-Wide Safety
SiGMA,Gas-Particle Interactions in a Microgravity Flow Cell
T,Tank (NTR staging tank)
T&E,Test & Evaluation
T2,Second ISS Treadmill
T2X,Technology Transfer Expansion
TA,Technical Authority
TACP,Transformative Aeronautics Concepts Program
TAGSAM,Touch-and-Go Sample Acquisition Mechanism
TAMD,Technology Analysis & Mission Design
TB,Terabytes
TBD,To Be Determined
TBIRD,TeraByte InfraRed Delivery
TBR,To Be Resolved
TC,Thermal Control
TCPI,To Complete Performance Index
TD,Technology Development
TDAMM,Time Domain and Multi Messenger
TDM,Technology Demonstration Missions
TDRS,Tracking and Data Relay Satellites
TDRSS,Tracking and Data Relay Satellite System
TDU,Technology Demonstration Unit
TEI,Trans-Earth Injection
TEM,Transmission Electron Microscope
TEMP,Test and Evaluation Master Plan
TEMPEST,Temporal Experiment for Storms and Tropical Systems
TEMPO,Tropospheric Emissions: Monitoring of Pollution
TESS,Transiting Exoplanet Survey Satellite
THEMIS,Time History of Events and Macroscale Interactions during Substorms
TIDES,Thriving In DEep Space
TIGER-3D,Transition from Ignition to Flame Growth under External Radiation in Three Dimensions
TIGERISS,Trans-Iron Galactic Recorder for the International Space Station
TIM,Technical Interchange Meeting
TIMED,Thermosphere Ionosphere Mesosphere Energetics and Dynamics
TL,Transfer Line
TLI,Trans-Lunar Injection
TM,Tiered Maintenance
TOC,Total Ownership Cost
TOCA,Total Organic Carbon Analyzer
TOPEX,Topography Experiment
TP,Tipping Point
TPFE,Two-Phase Flow Experiment
TPHT,Two-Phase Heat Transfer
TPM,Technical Performance Measurement
TPM ALS,Two-Phase Modeling
TPS,Thermal Protection System
TRACERS,Tandem Reconnection and Cusp Electrodynamics Reconnaissance Satellites
TRIDENT,The Regolith and Ice Drill for Exploring New Terrain
TRISH,Translational Research Institute for Space Health
TRL,Technology Readiness Level
TRMM,Tropical Rainfall Measuring Mission
TROPICS,Time-Resolved Observations of Precipitation structure and storm Intensity with a
TRP,Transition Research Projects
TS,Thermal Systems
TSC,Telescience Support Center
TSH-ES,Triaxial Sensor Head-Ethernet Standalone
TTBW,Transonic Truss-Braced Wing
TTT,Transformational Tools and Technologies
TV,Technical View
TVAC,Thermal Vacuum
TVIS,Treadmill with Vibration Isolation and Stabilization
TVR,Test and Verification Review
TWH,Technical Warrant Holders
TΦFFy,Two-Phase Flow Facility
UA,University of Arizona
UAE,United Arab Emirates
UAG,Users' Advisory Group
UAM,Urban Air Mobility
UAS,Unmanned Aircraft Systems
UCB,University of California at Berkeley
UCF,University of Central Florida
UF-X,Utility/Utilization Flight
UFE,Unallocated Future Expenses
UI,University Innovation
UK,United Kingdom
UKSA,United Kingdom Space Agency
ULA,United Launch Alliance
ULF,UtiLization Flight
ULI,University Leadership Initiative
ULTRASAT,Ultraviolet Transient Astronomy Satellite
UMBC,University of Maryland Baltimore County
UML,Universal Mounting Location
UMMC,University of Mississippi Medical Center
UN,United Nations
UPA,Urine Processor Assembly
UPN,Unique Project Number
UR,Under Review
URL,Uniform Resource Locator
URT,Underway Recovery Test
USA,Universal Stage Adapter
USAF,United States Air Force
USAID,United States Agency for Internal Deployment
USDV,United States De-orbit Vehicle
USGCRP,United States Global Change Research Program
USGS,United States Geological Survey
USOS,United States Orbital Segment
USSF,United States Space Force
USTP,University SmallSat Technology Partnerships
UTAS,UTC Aerospace Systems
UTM,Unmanned Aircraft Systems Traffic Management
UTMB,University of Texas Medical Branch
